bank,sub,clip_id,usa_payload_bytes,jp_payload_bytes,usa_frames,jp_frames,usa_seconds,jp_seconds,max_payload_bytes,max_seconds,max_subfile_bytes,max_region,max_header_patch,max_flag_patch
1510,7,84e1,20992,21504,1312,1344,1.530667,1.568000,21504,1.568000,24576,jp,15:54;39:5e;91:54;95:54;b0:40;b1:40,53c1:01;53d1:07
1510,8,84e2,25472,26624,1592,1664,1.857333,1.941333,26624,1.941333,28672,jp,14:00;15:68;39:75;85:6b;90:00;91:68;94:00;95:68;b0:40;b1:40,67b1:01;67c1:07
1510,9,84e3,47488,59264,2968,3704,3.462667,4.321333,59264,4.321333,61440,jp,15:e7;39:82;3a:03;85:eb;91:e7;95:e7;b0:40;b1:40,e741:01;e751:07
1510,10,84e4,13440,16768,840,1048,0.980000,1.222667,16768,1.222667,20480,jp,14:40;15:41;39:49;85:47;91:41;94:40;95:41;b0:40;b1:40,4121:01;4131:07
1510,11,84e5,77696,88960,4856,5560,5.665333,6.486667,88960,6.486667,92160,jp,15:5b;39:83;3a:05;85:5f;91:5b;95:5b;b0:40;b1:40,15b21:01;15b31:07
1510,12,84e6,56576,68864,3536,4304,4.125333,5.021333,68864,5.021333,71680,jp,15:0c;16:01;39:82;3a:2d;85:13;86:01;91:0d;92:01;95:0c;96:01;b0:40;b1:40,10c81:01;10c91:07
1510,13,84e7,40064,41600,2504,2600,2.921333,3.033333,41600,3.033333,45056,jp,14:80;15:a2;3a:36;85:a7;91:a2;94:80;95:a2;b0:40;b1:40,a231:01;a241:07
1510,14,84e8,35200,31616,2200,1976,2.566667,2.305333,35200,2.566667,38912,usa,,8941:01;8951:07
1510,15,84e9,17024,20864,1064,1304,1.241333,1.521333,20864,1.521333,24576,jp,14:40;15:51;39:5b;85:57;91:51;94:40;95:51;b0:40;b1:40,5101:01;5111:07
1510,16,84ea,41984,49152,2624,3072,3.061333,3.584000,49152,3.584000,51200,jp,15:bf;3a:57;85:c3;91:c0;95:bf;b0:40;b1:40,bf81:01;bf91:07
1510,17,84eb,62208,56576,3888,3536,4.536000,4.125333,62208,4.536000,65536,usa,,f2e1:01;f2f1:07
1510,18,84ec,14848,14848,928,928,1.082667,1.082667,14848,1.082667,18432,usa,,3981:01;3991:07
1510,19,84ed,20096,25728,1256,1608,1.465333,1.876000,25728,1.876000,28672,jp,14:80;15:64;39:71;85:6b;91:64;94:80;95:64;b0:40;b1:40,6461:01;6471:07
1510,20,84ee,16640,15104,1040,944,1.213333,1.101333,16640,1.213333,20480,usa,,40d1:01;40e1:07
1510,21,84ef,36608,35584,2288,2224,2.669333,2.594667,36608,2.669333,38912,usa,,8ea1:01;8eb1:07
1510,22,84f0,43776,43264,2736,2704,3.192000,3.154667,43776,3.192000,47104,usa,,aad1:01;aae1:07
1511,0,8528,50304,51200,3144,3200,3.668000,3.733333,51200,3.733333,53248,jp,14:00;15:c8;3a:60;90:00;91:c8;94:00;95:c8;b0:40;b1:40,c7e1:01;c7f1:07
1511,1,8529,27520,27520,1720,1720,2.006667,2.006667,27520,2.006667,30720,usa,,6b31:01;6b41:07
1511,2,852a,27520,27520,1720,1720,2.006667,2.006667,27520,2.006667,30720,usa,,6b31:01;6b41:07
1511,3,852b,73600,79872,4600,4992,5.366667,5.824000,79872,5.824000,81920,jp,14:c0;15:37;3a:5d;85:3b;90:00;91:38;94:c0;95:37;b0:40;b1:40,137a1:01;137b1:07
1511,4,852c,17408,16256,1088,1016,1.269333,1.185333,17408,1.269333,20480,usa,,43d1:01;43e1:07
1511,5,852d,40960,49280,2560,3080,2.986667,3.593333,49280,3.593333,53248,jp,14:40;15:c0;3a:57;85:c7;90:80;91:c0;94:40;95:c0;b0:40;b1:40,c001:01;c011:07
1511,6,852e,64000,70912,4000,4432,4.666667,5.170667,70912,5.170667,73728,jp,15:15;16:01;3a:36;85:1b;86:01;91:15;92:01;95:15;96:01;b0:40;b1:40,114c1:01;114d1:07
